total_loss,pde_loss,terminal_loss,VPP_penalty,grad_norm_f,control_loss,mean_integrand,grad_norm_g
9.167411,6.3690476,0.19383572,2.6045272,141.38823,780.80884,0.0021605932,10.060385
0.6893559,0.5533563,0.1359996,0.0,20.184029,1404.8794,0.008007189,10.041924
1.5662191,1.4532613,0.1127998,0.00015804038,52.77063,497.3086,0.016561417,10.094882
1.8168414,1.7105031,0.106203526,0.00013469935,49.22562,268.59302,0.027290054,10.140588
0.93881047,0.8364354,0.102368705,6.380861e-06,24.650358,238.6559,0.03847408,10.199939
0.34498692,0.24018067,0.10480623,0.0,5.9285784,221.61621,0.05003352,10.344342
0.6065436,0.4971102,0.1094334,0.0,12.813626,211.13112,0.06285457,10.584299
0.89746356,0.7884785,0.10898507,0.0,19.095364,205.82632,0.07706067,10.938866
0.7676027,0.6647296,0.10287311,0.0,21.284273,209.41739,0.091863796,11.476614
0.53396845,0.4390609,0.09490757,0.0,20.316345,226.70226,0.10663159,12.29911
0.3252618,0.23707905,0.088182755,0.0,11.536864,289.06232,0.122482635,13.558556
0.24879023,0.16556026,0.08322998,0.0,5.7704577,352.0386,0.14214283,15.47781
0.3220238,0.24299774,0.0790222,3.88105e-06,16.231865,469.89304,0.16937985,18.3155
0.3771834,0.30259916,0.07456489,1.9337065e-05,19.965784,680.02936,0.20772535,22.333332
0.33853158,0.2687133,0.069795676,2.261159e-05,15.930147,346.64697,0.2588563,27.7216
0.281431,0.21594438,0.06547572,1.088333e-05,9.195504,385.56494,0.32090157,34.529285
0.2413673,0.17901245,0.06235417,6.7713614e-07,6.425194,276.9019,0.38896596,42.479465
0.2183273,0.15779456,0.06053273,0.0,5.908344,223.63873,0.4589102,50.67173
0.2517057,0.19232477,0.059380934,0.0,5.8306847,201.74513,0.5304784,57.111217
0.30822006,0.2501372,0.058082856,0.0,7.301859,188.6329,0.6045169,60.47625
0.31280595,0.25654972,0.05625623,0.0,8.53074,181.98175,0.6783075,60.94851
0.2897644,0.23561138,0.054153025,0.0,10.260783,182.74239,0.74339366,58.61029
0.26262394,0.210377,0.052246943,0.0,10.053669,191.5464,0.7842028,51.183037
0.22569764,0.17490995,0.050787684,0.0,5.4152317,213.0084,0.7894957,38.43758
0.22065148,0.1710535,0.049578413,1.9561967e-05,6.64501,301.03275,0.7946142,32.947166
0.24933143,0.20093842,0.04817482,0.00021820184,11.557994,318.1025,0.8393602,34.87663
0.26016438,0.21287075,0.046437453,0.00085618685,8.245629,217.13086,0.8187244,51.360252
0.23069355,0.18599635,0.044697188,0.0,7.056477,185.59528,0.7524453,93.34692
0.17270833,0.12980735,0.042900976,0.0,6.121997,174.22554,0.72361904,104.586
0.13003588,0.089092225,0.04094365,0.0,2.3834772,163.63025,0.7078896,107.12126
0.12981272,0.090697065,0.039115652,0.0,5.747058,157.03935,0.6812775,107.85767
0.1372288,0.099504925,0.037723877,0.0,6.4500904,151.83046,0.66063434,106.08284
0.1296906,0.09292164,0.036768965,0.0,4.3975554,145.52089,0.6630942,100.196075
0.11426958,0.078211695,0.036057882,0.0,2.364622,137.60341,0.68551534,89.210686
0.09858562,0.063242994,0.03534263,0.0,1.6908877,129.00429,0.7149624,74.06776
0.08573039,0.051259436,0.03447095,0.0,1.5501087,121.29334,0.74129504,57.38779
0.07651341,0.043090317,0.03342309,0.0,1.583555,115.52383,0.7593286,41.736668
0.069791436,0.037466545,0.03232489,0.0,1.8083059,111.91172,0.7681809,30.451975
0.06355701,0.032233752,0.031323254,0.0,1.7240357,110.13026,0.76984006,27.899162
0.05782044,0.027281553,0.030538889,0.0,1.1766087,109.52286,0.7674805,34.692856
0.05447214,0.024478775,0.029993366,0.0,0.7191478,109.080315,0.76441646,44.209873
0.053997118,0.024376191,0.029620927,0.0,1.0100517,107.81169,0.76264,49.451836
0.05449179,0.025162442,0.029329345,0.0,1.3156064,105.12603,0.7619154,47.982525
0.053438894,0.024396755,0.029042138,0.0,1.4101738,101.35339,0.75955373,38.558723
0.04980997,0.02109795,0.02871202,0.0,1.2788637,97.646736,0.7522824,27.376408
0.045154653,0.016816305,0.02833835,0.0,1.0211257,95.46956,0.73899096,45.731194
0.042762242,0.0148272365,0.027935008,0.0,1.2756034,95.08597,0.7231408,75.39313
0.04323078,0.015736846,0.027493931,0.0,1.6063555,94.773445,0.7112101,84.02931
0.043442763,0.016421279,0.027021486,0.0,1.3629411,93.49031,0.7053783,67.071
0.0415011,0.014972833,0.026528269,0.0,0.953106,92.15436,0.702279,37.66724
0.038317468,0.012308497,0.026008971,0.0,0.8640925,91.663574,0.6983066,23.806875
0.036121465,0.010676079,0.025445387,0.0,0.79647565,91.93324,0.6922646,38.044067
0.035970382,0.011211807,0.024758577,0.0,0.8600473,92.09333,0.6847864,41.770763
0.035862923,0.011961722,0.0239012,0.0,0.9702105,91.85801,0.67592007,33.70598
0.033635017,0.010765856,0.02286916,0.0,0.8720084,91.63994,0.66547984,32.11097
0.030071435,0.00833966,0.021731775,0.0,0.5832907,91.546074,0.65437835,42.732098
0.02741059,0.0068133743,0.020597214,0.0,0.373365,91.21044,0.64450675,47.275978
0.026581738,0.00701492,0.019566817,0.0,0.48059854,90.574295,0.637018,38.179337
0.026748877,0.008067072,0.018681806,0.0,0.6384384,90.12109,0.63163126,17.832178
0.026616082,0.008659757,0.017956324,0.0,0.6906977,90.23729,0.62746197,10.123857
0.025637291,0.008256472,0.01738082,0.0,0.6100119,90.91962,0.623905,26.816088
0.02441654,0.0075003654,0.016916174,0.0,0.41574943,91.72265,0.62068355,35.29313
0.023824213,0.0072912727,0.01653294,0.0,0.37646958,92.34953,0.61701953,33.76684
0.023887519,0.0076727984,0.01621472,0.0,0.5934425,92.77552,0.6117267,23.602673
0.023626858,0.007693633,0.015933225,0.0,0.67713314,93.52527,0.60428125,11.142949
0.022426164,0.006754395,0.01567177,0.0,0.5503727,94.9408,0.59517205,18.543018
0.020785563,0.0053745657,0.015410998,0.0,0.35056826,97.42283,0.5859084,30.803005
0.019767035,0.0046122754,0.0151547585,0.0,0.29529867,101.49687,0.5781271,34.149567
0.019576501,0.0046706386,0.014905862,0.0,0.36696443,108.35861,0.5726691,26.96337
0.019535383,0.0048552034,0.01468018,0.0,0.4544994,124.8014,0.5690503,14.855862
0.019020243,0.004548179,0.014472064,0.0,0.49896967,184.84857,0.5663572,14.369907
0.01811781,0.0038425745,0.014275235,0.0,0.45114738,317.26825,0.5639541,24.413338
0.017335953,0.0032719546,0.014063942,5.502545e-08,0.36986005,142.39322,0.56167465,30.038137
0.016933374,0.0031160603,0.013816444,8.696383e-07,0.38215274,117.90832,0.5592385,28.16787
0.016665012,0.003143627,0.013518754,2.6304358e-06,0.4324733,109.427605,0.55632615,19.405846
0.016190914,0.00301124,0.013174772,4.9016453e-06,0.43014532,105.06188,0.55259603,7.3618298
0.015532581,0.0027226126,0.012802109,7.859149e-06,0.3455247,103.36999,0.548058,12.704485
0.014984505,0.002548875,0.012424659,1.0970902e-05,0.2202892,103.33432,0.5432228,24.174343
0.014740538,0.0026564822,0.012070147,1.3907991e-05,0.20907164,104.4725,0.5388212,29.057756
0.014635168,0.0028605869,0.011757743,1.6838147e-05,0.29683754,106.72615,0.5353731,25.710775
0.014377259,0.0028618441,0.011496399,1.9016123e-05,0.32972592,110.04937,0.5326564,16.381445
0.013897337,0.0025938393,0.011282951,2.0547102e-05,0.29171658,115.455696,0.5302401,7.501789
0.0133751575,0.0022443223,0.011109302,2.1532953e-05,0.21919487,122.21748,0.5277123,11.667059
0.013008123,0.0020292304,0.010957392,2.1500853e-05,0.19783346,128.60052,0.5248896,17.29994
0.012786876,0.0019564072,0.010809552,2.0917912e-05,0.23906569,134.48245,0.52171576,17.673601
0.012557846,0.0018895895,0.0106491195,1.9136807e-05,0.2687743,143.65489,0.51801354,12.338747
0.012243543,0.0017574426,0.010468716,1.7384096e-05,0.25129515,188.57178,0.51373774,4.658836
0.0119261425,0.001647775,0.010263437,1.4930124e-05,0.20040844,177.54967,0.5091522,9.610808
0.011718487,0.0016611259,0.010044903,1.2459199e-05,0.17667145,140.4472,0.5047416,16.162668
0.011584875,0.0017510429,0.009824164,9.668312e-06,0.19735628,131.19814,0.5009875,17.020756
0.0113828825,0.0017634663,0.009612376,7.039673e-06,0.2057203,130.14882,0.4980646,12.144248
0.011086461,0.001665019,0.00941667,4.77338e-06,0.17346781,134.19576,0.49574634,6.2247458
0.010785211,0.0015460905,0.009235996,3.1245725e-06,0.13163377,150.5311,0.49376488,10.133085
0.01054952,0.0014845226,0.009063155,1.8424613e-06,0.12911114,194.06439,0.4918245,15.46184
0.010367524,0.0014749069,0.008891273,1.3439361e-06,0.15717393,394.08444,0.48972285,16.280066
0.010181561,0.0014654669,0.008714678,1.4165238e-06,0.18520656,525.5808,0.487321,12.09764
0.00997536,0.0014390002,0.008534428,1.9318884e-06,0.20244944,231.33958,0.4844206,4.835898
0.009778074,0.001419113,0.008356168,2.793115e-06,0.18743296,186.28334,0.4811571,6.5816684
0.00961112,0.001420353,0.008186725,4.042469e-06,0.14821461,169.8953,0.47787234,12.64791
0.009452893,0.0014160488,0.0080311205,5.7239045e-06,0.13856372,159.43198,0.4750039,14.3348055
0.009281305,0.0013793514,0.007894295,7.65869e-06,0.14302643,155.24075,0.47261336,11.240916
0.009099424,0.0013122694,0.0077769468,1.0207247e-05,0.13675652,149.85484,0.4706381,5.3399315
0.008936689,0.0012487255,0.0076746005,1.3363603e-05,0.12442699,144.60767,0.46886396,4.889258
0.008795307,0.0011992353,0.007578714,1.7358187e-05,0.11431665,139.3452,0.46720886,9.257659
0.008667529,0.0011641289,0.0074817166,2.1682994e-05,0.122816645,134.50862,0.46553877,10.564209
0.008540484,0.0011370836,0.007377145,2.6255728e-05,0.15969115,132.15541,0.46366918,8.142565
0.008410934,0.0011183416,0.0072615915,3.100082e-05,0.19304487,129.69054,0.46153793,3.5707512
0.008282048,0.0011066622,0.007140438,3.4947825e-05,0.19156712,135.50446,0.45918608,5.244152
0.008157817,0.0010990712,0.007020138,3.8607188e-05,0.14565809,210.64293,0.45687053,9.506685
0.008036767,0.0010912131,0.0069044875,4.1066993e-05,0.09703525,132.64165,0.45481107,10.521771
0.007920273,0.0010814547,0.006796184,4.2634365e-05,0.094897576,116.87844,0.45316288,7.735379
0.007809143,0.0010696161,0.006696352,4.317517e-05,0.10503233,109.40244,0.45183975,3.4135485
0.007701026,0.0010527293,0.00660526,4.3036496e-05,0.10045251,105.264824,0.45058262,5.2999716
0.0075975265,0.0010362541,0.006519338,4.1934076e-05,0.093249924,102.098434,0.44928426,8.476106
0.0074989824,0.0010218847,0.0064372234,3.987402e-05,0.09974837,100.08687,0.4478741,8.600531
0.007405811,0.0010117813,0.0063567273,3.7302412e-05,0.11205081,98.744286,0.44627464,5.701824
0.0073139207,0.0010005824,0.0062786723,3.466629e-05,0.11386462,97.80047,0.44453886,2.7828164
0.0072199106,0.0009855651,0.0062025506,3.1794974e-05,0.104320526,97.84101,0.4426939,5.336156
0.0071257777,0.00096908095,0.006128232,2.8464365e-05,0.088007115,97.70364,0.44091445,7.169516
0.007035285,0.00095164083,0.006058164,2.5479943e-05,0.080015704,99.88699,0.4392845,6.0458713
0.0069501586,0.00093274005,0.0059951306,2.2287812e-05,0.08315819,102.96351,0.4378436,2.9372523
0.006866389,0.00091279583,0.005934025,1.9567819e-05,0.08664551,112.34571,0.43661746,3.4996817
0.006783192,0.00089212914,0.005874567,1.6495436e-05,0.07666758,121.59858,0.4355011,6.166029
0.0067028455,0.0008748229,0.0058138696,1.4152728e-05,0.076018654,137.55746,0.4344074,6.469305
0.0066283685,0.0008639424,0.0057522985,1.2127721e-05,0.10039753,158.06296,0.43322155,4.381252
0.0065575154,0.0008568917,0.005690233,1.0390638e-05,0.11422783,156.01459,0.43185186,2.724513
0.0064846054,0.00084909645,0.0056266584,8.85034e-06,0.10131552,146.06767,0.4303585,5.106386
0.006411732,0.00084055035,0.0055635264,7.655585e-06,0.07707559,114.41454,0.42884406,6.493439
0.0063420464,0.0008338475,0.005501395,6.803773e-06,0.06899492,104.876274,0.42744073,5.248867
0.0062748278,0.00082693755,0.005441729,6.1612686e-06,0.073891334,97.470924,0.4261893,2.6670527
0.0062091267,0.0008182436,0.00538526,5.622658e-06,0.07516999,91.57098,0.4249997,3.6986573
0.006142534,0.00080576097,0.005331385,5.3883186e-06,0.06994102,88.62205,0.4238906,5.798181
0.006077511,0.00079117157,0.005281044,5.294835e-06,0.066878326,86.11291,0.4228018,5.881281
0.0060164398,0.00077959447,0.005231536,5.3096883e-06,0.06914684,84.39749,0.42172515,4.1032834
